Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Release_v1.0,Chrome 122.0.0.0,,,28-02-2024 13:29:02,28-02-2024 13:30:21,1m - 18.261s,PASSED
,,,,,,,
Test Cases/Website,Chrome 122.0.0.0,,,28-02-2024 13:29:02,28-02-2024 13:30:21,1m - 18.119s,PASSED
"testData = findTestData(""Data Files/DataTest"")",Chrome 122.0.0.0,,,28-02-2024 13:29:03,28-02-2024 13:29:03,0.303s,PASSED
"email = testData.getObjectValue(""email"", 1)",Chrome 122.0.0.0,,,28-02-2024 13:29:03,28-02-2024 13:29:03,0.023s,PASSED
"password = testData.getObjectValue(""password"", 1)",Chrome 122.0.0.0,,,28-02-2024 13:29:03,28-02-2024 13:29:03,0.002s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,28-02-2024 13:29:03,28-02-2024 13:29:04,1.313s,PASSED
"navigateToUrl(""https://www.amazon.com/ap/signin?openid.pape.max_auth_age=900&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fgp%2Fyourstore%2Fhome%3Fpath%3D%252Fgp%252Fyourstore%252Fhome%26signIn%3D1%26useRedirectOnSuccess%3D1%26action%3Dsign-out%26ref_%3Dnav_AccountFlyout_signout&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0"")",Chrome 122.0.0.0,,,28-02-2024 13:29:04,28-02-2024 13:29:24,20.119s,PASSED
"setText(findTestObject(""Object Repository/Website/Login/input_Email or mobile phone number_email""), email)",Chrome 122.0.0.0,,,28-02-2024 13:29:24,28-02-2024 13:29:46,21.399s,PASSED
"click(findTestObject(""Object Repository/Website/Login/input_Enter your email or mobile phone number_continue""))",Chrome 122.0.0.0,,,28-02-2024 13:29:46,28-02-2024 13:29:47,1.508s,PASSED
"setText(findTestObject(""Object Repository/Website/Login/input_Forgot your password_password""), password)",Chrome 122.0.0.0,,,28-02-2024 13:29:47,28-02-2024 13:29:49,1.212s,PASSED
"click(findTestObject(""Object Repository/Website/Login/input_Enter your password_signInSubmit""))",Chrome 122.0.0.0,,,28-02-2024 13:29:49,28-02-2024 13:29:49,0.298s,PASSED
"setText(findTestObject(""Object Repository/Website/product/search""), ""pc"")",Chrome 122.0.0.0,,,28-02-2024 13:29:49,28-02-2024 13:30:08,18.893s,PASSED
"click(findTestObject(""Object Repository/Website/product/Button search""))",Chrome 122.0.0.0,,,28-02-2024 13:30:08,28-02-2024 13:30:14,5.819s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon.com  pc/span_Add to cart""))",Chrome 122.0.0.0,,,28-02-2024 13:30:14,28-02-2024 13:30:15,1.419s,PASSED
"click(findTestObject(""Object Repository/Website/product/Page cart""))",Chrome 122.0.0.0,,,28-02-2024 13:30:15,28-02-2024 13:30:20,5.440s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,28-02-2024 13:30:20,28-02-2024 13:30:21,0.137s,PASSED
